name,Project_Creation,Issue_Id,Issue_Date,issue_id,,2010,January,February,March,April,May,June,July,August,September,October,November,December
mongo,2009-01-15 8:15,4850,2011-10-17 1:51,125,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4848,2011-10-17 3:58,126,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3869,2011-10-19 9:28,127,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4846,2011-10-19 18:44,128,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4843,2011-10-20 7:31,129,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3861,2011-10-20 8:49,130,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4839,2011-10-24 3:11,131,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4837,2011-10-24 7:10,132,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4834,2011-10-24 7:15,133,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4832,2011-10-24 14:31,134,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4828,2011-10-27 11:10,135,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4809,2011-10-28 7:18,136,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4806,2011-11-02 6:01,137,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4803,2011-11-03 13:50,138,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4801,2011-11-04 14:31,139,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4800,2011-11-04 15:31,140,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4797,2011-11-05 7:26,141,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4795,2011-11-06 20:53,142,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3859,2011-11-07 8:00,143,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4789,2011-11-09 2:27,144,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4777,2011-11-09 3:23,145,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4774,2011-11-15 12:43,146,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4771,2011-11-15 12:58,147,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4768,2011-11-17 10:22,148,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3857,2011-11-17 17:22,149,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4764,2011-12-07 18:20,150,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4761,2011-12-11 5:56,151,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4758,2011-12-14 13:38,152,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3856,2011-12-17 8:09,153,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3853,2011-12-18 12:38,154,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4755,2011-12-21 5:01,155,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4752,2011-12-22 9:08,156,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3851,2011-12-31 16:14,157,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3849,2012-01-02 5:02,158,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4750,2012-01-03 15:59,159,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3847,2012-01-16 10:52,160,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4745,2012-01-16 10:56,161,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4743,2012-01-16 10:56,162,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3844,2012-01-17 20:15,163,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4740,2012-01-19 14:36,164,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3842,2012-01-24 10:32,165,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3839,2012-01-25 18:27,166,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4739,2012-01-31 7:28,167,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,152579,2012-01-31 7:53,168,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4737,2012-01-31 18:45,169,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4736,2012-02-01 14:24,170,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4735,2012-02-02 7:19,171,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4732,2012-02-03 11:58,172,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4730,2012-02-03 12:03,173,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4729,2012-02-03 13:50,174,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3837,2012-02-12 16:05,175,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4726,2012-02-13 10:30,176,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3834,2012-02-16 16:54,177,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4723,2012-02-17 8:33,178,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4720,2012-02-17 16:24,179,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4717,2012-02-17 17:07,180,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4713,2012-02-25 3:58,181,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4710,2012-02-27 8:35,182,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4708,2012-02-28 6:50,183,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4707,2012-02-28 10:46,184,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4704,2012-03-05 7:27,185,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4702,2012-03-05 13:59,186,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4699,2012-03-06 16:25,187,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4695,2012-03-12 1:43,188,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4693,2012-03-12 2:18,189,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4690,2012-03-21 8:39,190,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4687,2012-03-21 15:44,191,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3832,2012-03-23 5:21,192,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4684,2012-03-23 9:11,193,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3830,2012-03-24 8:41,194,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4681,2012-03-25 13:59,195,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4680,2012-03-26 5:06,196,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3829,2012-03-26 6:26,197,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4678,2012-03-28 4:55,198,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3821,2012-03-30 17:21,199,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3820,2012-04-02 9:10,200,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4677,2012-04-05 4:45,201,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4675,2012-04-05 10:03,202,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4674,2012-04-06 1:54,203,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4672,2012-04-06 5:33,204,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3816,2012-04-09 1:54,205,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4671,2012-04-09 5:28,206,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4670,2012-04-09 5:45,207,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4669,2012-04-10 8:37,208,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4666,2012-04-11 0:32,209,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4664,2012-04-12 0:00,210,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4662,2012-04-13 1:04,211,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3814,2012-04-13 12:33,212,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3812,2012-04-23 16:57,213,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,152581,2012-04-25 0:46,214,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4660,2012-04-26 23:02,215,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4657,2012-04-27 15:35,216,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4656,2012-04-29 22:45,217,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4653,2012-04-29 23:03,218,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,152582,2012-05-01 6:56,219,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3810,2012-05-01 14:24,220,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3806,2012-05-03 15:50,221,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4649,2012-05-04 0:34,222,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4647,2012-05-10 4:47,223,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4645,2012-05-15 13:49,224,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4640,2012-05-19 17:22,225,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4636,2012-05-21 18:54,226,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3805,2012-05-31 8:49,227,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4634,2012-06-01 12:42,228,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3803,2012-06-04 11:32,229,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,3801,2012-06-05 1:53,230,,,,,,,,,,,,,,
mongo,2009-01-15 8:15,4632,2012-06-06 2:29,231,,,,,,,,,,,,,,
